time	I(L1)
2.774420339369972e-001	-6.836155e-003
2.784660339369698e-001	-5.447377e-003
2.794900339369424e-001	-4.057419e-003
2.805140339369150e-001	-2.676947e-003
2.815380339368876e-001	-1.316242e-003
2.816830339368837e-001	-1.125669e-003
2.818280339368798e-001	-9.357840e-004
2.819730339368760e-001	-7.465869e-004
2.821180339368721e-001	-5.580779e-004
2.822630339368682e-001	-3.702571e-004
2.824080339368643e-001	-1.831243e-004
2.825530339368604e-001	3.320373e-006
2.825620339368602e-001	1.486328e-005
2.827081767939991e-001	2.019363e-004
2.828543196511381e-001	3.881254e-004
2.830004625082770e-001	5.734305e-004
2.831466053654160e-001	7.578518e-004
2.832927482225549e-001	9.413891e-004
2.834388910796939e-001	1.124042e-003
2.835850339368328e-001	1.305812e-003
2.835860339368328e-001	1.307052e-003
2.837321767939717e-001	1.487839e-003
2.838783196511107e-001	1.667570e-003
2.840244625082496e-001	1.846245e-003
2.841706053653886e-001	2.023864e-003
2.843167482225275e-001	2.200427e-003
2.844628910796665e-001	2.375934e-003
2.846090339368054e-001	2.550385e-003
2.846100339368054e-001	2.551575e-003
2.856340339367780e-001	3.740303e-003
2.866580339367506e-001	4.865770e-003
2.876820339367232e-001	5.921212e-003
2.887060339366958e-001	6.900599e-003
2.897300339366684e-001	7.798656e-003
2.907540339366410e-001	8.610887e-003
2.917780339366136e-001	9.333578e-003
2.928020339365862e-001	9.963814e-003
2.938260339365588e-001	1.049947e-002
2.948500339365314e-001	1.093921e-002
2.958740339365040e-001	1.128246e-002
2.968980339364766e-001	1.152940e-002
2.979220339364492e-001	1.168097e-002
2.989460339364218e-001	1.173878e-002
2.999700339363944e-001	1.170511e-002
3.001161767935334e-001	1.169299e-002
3.002623196506724e-001	1.167909e-002
3.004084625078113e-001	1.166343e-002
3.005546053649502e-001	1.164599e-002
3.007007482220891e-001	1.162679e-002
3.008468910792281e-001	1.160581e-002
3.009930339363671e-001	1.158307e-002
3.009940339363670e-001	1.158291e-002
3.011401767935060e-001	1.155841e-002
3.012863196506450e-001	1.153223e-002
3.014324625077839e-001	1.150435e-002
3.015786053649228e-001	1.147478e-002
3.017247482220617e-001	1.144351e-002
3.018708910792007e-001	1.141056e-002
3.020170339363397e-001	1.137591e-002
3.020180339363396e-001	1.137567e-002
3.021641767934786e-001	1.133936e-002
3.023103196506176e-001	1.130144e-002
3.024564625077565e-001	1.126192e-002
3.026026053648954e-001	1.122079e-002
3.027487482220344e-001	1.117806e-002
3.028948910791733e-001	1.113372e-002
3.030410339363123e-001	1.108778e-002
3.030420339363122e-001	1.108747e-002
3.040660339362848e-001	1.072286e-002
3.050900339362574e-001	1.028687e-002
3.061140339362301e-001	9.784912e-003
3.071380339362027e-001	9.222746e-003
3.081620339361753e-001	8.606427e-003
3.091860339361479e-001	7.942248e-003
3.102100339361205e-001	7.236685e-003
3.112340339360931e-001	6.496340e-003
3.122580339360657e-001	5.727889e-003
3.132820339360383e-001	4.938030e-003
3.143060339360109e-001	4.133428e-003
3.153300339359835e-001	3.320666e-003
3.163540339359561e-001	2.506199e-003
3.173780339359287e-001	1.696306e-003
3.184020339359013e-001	8.970484e-004
3.185481767930402e-001	7.841487e-004
3.186943196501792e-001	6.716411e-004
3.188404625073181e-001	5.595255e-004
3.189866053644571e-001	4.478019e-004
3.191327482215960e-001	3.364704e-004
3.192788910787350e-001	2.255309e-004
3.194250339358739e-001	1.149835e-004
3.194260339358739e-001	1.142288e-004
3.194837482215866e-001	7.070878e-005
3.195414625072994e-001	2.726184e-005
3.195991767930121e-001	-1.611196e-005
3.196568910787249e-001	-5.941263e-005
3.197146053644376e-001	-1.026402e-004
3.197723196501504e-001	-1.457946e-004
3.198300339358631e-001	-1.888759e-004
3.199184625072893e-001	-2.547401e-004
3.200068910787155e-001	-3.204133e-004
3.200953196501417e-001	-3.858954e-004
3.201837482215679e-001	-4.511866e-004
3.202721767929941e-001	-5.162866e-004
3.203606053644203e-001	-5.811957e-004
3.204490339358465e-001	-6.459136e-004
3.204500339358465e-001	-6.466443e-004
3.205961767929854e-001	-7.531739e-004
3.207423196501244e-001	-8.591006e-004
3.208884625072633e-001	-9.644243e-004
3.210346053644023e-001	-1.069145e-003
3.211807482215412e-001	-1.173263e-003
3.213268910786802e-001	-1.276778e-003
3.214730339358191e-001	-1.379689e-003
3.214740339358191e-001	-1.380391e-003
3.224980339357917e-001	-2.082190e-003
3.235220339357643e-001	-2.747606e-003
3.245460339357369e-001	-3.372609e-003
3.255700339357095e-001	-3.953596e-003
3.265940339356821e-001	-4.487408e-003
3.276180339356547e-001	-4.971338e-003
3.286420339356273e-001	-5.403136e-003
3.296660339355999e-001	-5.781021e-003
3.306900339355725e-001	-6.103674e-003
3.317140339355451e-001	-6.370238e-003
3.327380339355177e-001	-6.580307e-003
3.337620339354903e-001	-6.733924e-003
3.347860339354629e-001	-6.831558e-003
3.358100339354355e-001	-6.874095e-003
3.368340339354081e-001	-6.862815e-003
3.369801767925471e-001	-6.856894e-003
3.371263196496860e-001	-6.849930e-003
